Site,NAME,Moss_richness,Lichen_richness,Graminoid_richness,Forb_richness,Vascular_richness,Total_richness,Dead_biomass,Forb_biomass,Graminoid_biomass,Lichen_biomass,Moss_biomass,Total_biomass,Live_biomass,Vascular_biomass
Vize,025-R1,12,4,1,9,10,26,0.473,0.138266667,0.089633333,0.075833333,3.673266667,4.528133333,3.977,0.2279
Vize,025-R2,9,1,1,7,8,18,0.4946,0.3165,0.1358,2.856766667,3.393373333,7.10034,6.70244,0.4523
Vize,025-R3,9,5,1,5,6,20,1.4009,0.895433333,0.231066667,2.438466667,10.38347333,15.09187333,13.94844,1.1265
Vize,025-R4,11,6,1,9,10,27,0.0497,1.069766667,0.4351,0.4665,19.8112,22.52166667,21.78256667,1.504866667
Vize,025-R5,11,4,1,7,8,23,0.8901,1.830866667,0.0039,0.825366667,19.6674,24.89336667,22.32753333,1.834766667
Vize,025-R6,9,7,1,7,8,24,8.9364,0.961723333,0.2062,2.5478,17.46413333,25.01375667,21.17985667,1.167923333
Pioneer,074-R1,19,9,0,7,7,35,1.1702,1.6065,0,4.447133333,2.173833333,10.0378,8.227466667,1.6065
Pioneer,074-R2,9,12,0,7,7,28,0.7205,2.674033333,0,7.533366667,4.941733333,16.33953333,15.14913333,2.674033333
Pioneer,074-R3,13,8,1,7,8,29,0,1.328066667,0,0.155833333,0.7024,2.2787,2.1863,1.328066667
OctRevCentre,077-R1,2,0,2,4,6,8,1.5313,0.581266667,0.660866667,0,0,2.081133333,1.242133333,1.242133333
OctRevCentre,077-R2,2,0,1,5,6,8,0.2928,0.281033333,0.1092,0,0,0.6221,0.390233333,0.390233333
OctRevCentre,077-R3,3,0,1,2,3,6,2.5241,1.494866667,0.522033333,0,0.292033333,3.2711,2.308933333,2.0169
OctRevCoast,078-R1,21,24,0,1,1,46,1.516766667,0.349966667,0,7.926533333,3.547966667,13.34123333,11.82446667,0.349966667
OctRevCoast,078-R2,4,10,0,1,1,15,0,0.003933333,0,6.942133333,13.37503333,20.3211,20.3211,0.003933333
Bolshevik,080-R1,20,0,2,6,8,28,0.5724,0.399733333,0,0.049466667,7.188933333,7.974933333,7.638133333,0.399733333
Bolshevik,080-R2,17,19,0,2,2,38,0,0.352866667,0,3.933166667,11.02803333,15.399,15.31406667,0.352866667
Uedineniya,116-R1,3,2,4,8,12,17,2.2399,0.232866667,5.711366667,0.166666667,0.037,10.38966667,6.1479,5.944233333
Uedineniya,116-R2,4,3,2,9,11,18,0,1.4901,0.353466667,1.678733333,0.804166667,5.2476,4.326466667,1.843566667
Uedineniya,116-R3,5,3,2,7,9,17,0.4725,0.920866667,0.6368,0.887033333,2.622933333,6.485633333,5.067633333,1.557666667
