Subplot,SAM,Plot,Site,Author of the picture,picture of the plot as indicated in the table ,picture of the subplot ,Dead_biomass,Forb_biomass,Graminoid_biomass,Lichen_biomass,Moss_biomass,Total_biomass,Live_biomass,Green_biomass,Dead_biomass_g/m,Forb_biomass_g/m,Graminoid_biomass_g/m,Lichen_biomass_g/m,Moss_biomass_g/m,Total_biomass_g/m,Live_biomass_g/m,Green_biomass_g/m,Lat,Long,Cover_Dead,Cover_Forb,Cover_Graminoid,Cover_Lichen,Cover_Moss,Cover_Total_biomass,Cover_live,Cover_Green ,Sentinel2_count,Sentinel2_mean,Sentinel2_stdev,Sentinel2_min,Sentinel2_max,drone_count,drone_mean,drone_stdev,drone_min,drone_max
OctRevCentre-R1-B1,1,OctRevCentre-R1,OctRevCentre,Vit,6J1A851-854,856-857,1.5313,0.2484,1.9826,0,0,3.7623,2.231,2.231,6.1252,0.9936,7.9304,0,0,15.0492,8.924,8.924,79.728208,96.57176,2,1,15,0,0,18,16,16,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R1-B2,1,,OctRevCentre,Vit,6J1A851-854,859-860,0.3694,0.3836,0,0,0,0.753,0.3836,0.3836,1.4776,1.5344,0,0,0,3.012,1.5344,1.5344,79.728208,96.57176,0.5,1.5,0.5,0,0,2.5,2,2,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R1-B3,1,,OctRevCentre,Vit,6J1A851-854,862-866,0.6163,1.1118,0,0,0,1.7281,1.1118,1.1118,2.4652,4.4472,0,0,0,6.9124,4.4472,4.4472,79.728208,96.57176,1,15,0.5,0,0,16.5,15.5,15.5,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R1-B4,1,,OctRevCentre,Joel,6J1A851-854,6J1A0896,2.1526,1.2105,0.1324,0,0,3.4955,1.3429,1.3429,10.763,6.0525,0.662,0,0,17.4775,6.7145,6.7145,79.728208,96.57176,5,15,20,0,0,40,35,35,7,0.144297076,0.023987136,0.109848484,0.179629624,90837,0.102059873,0.064125837,-0.243306845,0.636153519
OctRevCentre-R2-B1,2,OctRevCentre-R2,OctRevCentre,Vit,6J1A868-871,872-874,0.2928,0.0357,0.3057,0,0,0.6342,0.3414,0.3414,1.1712,0.1428,1.2228,0,0,2.5368,1.3656,1.3656,79.727352,96.570748,0.5,0.5,1.5,0,0,2.5,2,2,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R2-B2,2,,OctRevCentre,Vit,6J1A868-871,875-876,0,0.2145,0.0219,0,0,0.2364,0.2364,0.2364,0,0.858,0.0876,0,0,0.9456,0.9456,0.9456,79.727352,96.570748,0,0.5,0.05,0,0,0.55,0.55,0.55,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R2-B3,2,,OctRevCentre,Vit,6J1A868-871,878-879,0.4028,0.5929,0,0,0,0.9957,0.5929,0.5929,1.6112,2.3716,0,0,0,3.9828,2.3716,2.3716,79.727352,96.570748,0.05,1,0,0,0,1.05,1,1,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R2-B4,2,,OctRevCentre,Joel,6J1A868-871,"DSC_2155, 2156",1.1937,2.8105,1.2248,0,0,5.229,4.0353,4.0353,5.9685,14.0525,6.124,0,0,26.145,20.1765,20.1765,79.727352,96.570748,15,1,35,0,0.05,51.05,36.05,36.05,7,0.146027141,0.012298697,0.130203724,0.163323775,90843,0.060581767,0.039833074,-0.012770223,0.49366805
OctRevCentre-R3-B1,3,OctRevCentre-R3,OctRevCentre,Ks,6J1A881-884,DSC_2154,2.5241,0.1876,1.2758,0,0.8761,4.8636,2.3395,2.3395,10.0964,0.7504,5.1032,0,3.5044,19.4544,9.358,9.358,79.727232,96.568277,4,1,8,0,0,13,9,9,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
OctRevCentre-R3-B2,3,,OctRevCentre,Ks,6J1A881-884,886-887,0.0424,4.297,0.022,0,0,4.3614,4.319,4.319,0.1696,17.188,0.088,0,0,17.4456,17.276,17.276,79.727232,96.568277,0.5,3,1,0,0,4.5,4,4,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
OctRevCentre-R3-B3,3,,OctRevCentre,Ks,6J1A881-884,888-889,0.32,0,0.2683,0,0,0.5883,0.2683,0.2683,1.28,0,1.0732,0,0,2.3532,1.0732,1.0732,79.727232,96.568277,1,0,2,0,0,3,2,2,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
OctRevCentre-R3-B4,3,,OctRevCentre,Joel,6J1A881-884,"DSC_2157, 2158",1.435,0.0538,1.1346,0,0.0117,2.6351,1.2001,1.2001,7.175,0.269,5.673,0,0.0585,13.1755,6.0005,6.0005,79.727232,96.568277,2,14,4,0,0,20,18,14,7,0.155022106,0.008845431,0.139956489,0.167008623,90843,0.115427594,0.058866988,0.006132797,0.677734792
