Number,Plot,Cover_live_median,fcover_vegetation_median,Cover_live_min,fcover_vegetation_min,Cover_live_max,fcover_vegetation_max
1,Vize-R1,18.5,85.50497405,13,82.0751634,23,89.49502595
2,Vize-R2,16,88.65700692,12.5,85.8942474,19.5,90.70507545
3,Vize-R3,19.5,99.9567474,18,99.64316609,40.5,99.98910675
4,Vize-R4,27.5,97.58169935,27,81.04995675,42.5,99.88105536
5,Vize-R5,30,47.79952422,26,10.99673203,46,89.95098039
6,Vize-R6,22.5,98.90787197,22.5,97.69679931,31.5,99.26470588
7,Pioneer-R1,17,36.64443243,16,18.47244757,19,54.03521423
8,Pioneer-R2,22,3.312742248,10,1.856859564,22,5.840995133
9,Pioneer-R3,3.05,5.907096929,2,3.040213178,9.5,14.32495117
10,Uedineniya-R1,8.55,1.610480139,3.55,0.666182171,17,2.001081666
11,Uedineniya-R2,9.05,3.912024518,5.05,3.178895499,13.05,5.226501938
12,Uedineniya-R3,7,15.49185746,4.05,11.19524067,16,20.17306652
